caseKey	pdbId	requestedFamilies	closureStatus	finalStatus
RMDB2PDB:5WTI	5WTI	A,B	ready	ready
RMDB2PDB:5XXU	5XXU	A,B	ready	ready
RMDB2PDB:6BG9	6BG9	A,B	ready	ready
RMDB2PDB:6CK5	6CK5	A,B	ready	ready
RMDB2PDB:6D3P	6D3P	A	ready	ready
RMDB2PDB:6D8L	6D8L	A,B	ready	ready
RMDB2PDB:6D8O	6D8O	A,B	ready	ready
RMDB2PDB:6IFO	6IFO	A,B	ready	ready
RMDB2PDB:6IV6	6IV6	B	ready	ready
RMDB2PDB:6IV8	6IV8	A,B	ready	ready
RMDB2PDB:6PQ7	6PQ7	A	ready	ready
RMDB2PDB:6QKL	6QKL	A,B	ready	ready
RMDB2PDB:6QYZ	6QYZ	A,B	ready	ready
RMDB2PDB:6TFE	6TFE	A	ready	ready
RMDB2PDB:6U79	6U79	B	ready	ready
RMDB2PDB:6UEY	6UEY	A,B	ready	ready
RMDB2PDB:6VMY	6VMY	A,B	ready	ready
RMDB2PDB:6WB1	6WB1	A,B	ready	ready
RMDB2PDB:6X5N	6X5N	A,B	ready	ready
RMDB2PDB:6Z1P	6Z1P	A,B	ready	ready
RMDB2PDB:7D4I	7D4I	A,B	ready	ready
RMDB2PDB:7D8O	7D8O	A,B	ready	ready
RMDB2PDB:7DMQ	7DMQ	A,B	ready	ready
RMDB2PDB:7ELD	7ELD	A,B	ready	ready
RMDB2PDB:7ENI	7ENI	A,B	ready	ready
RMDB2PDB:7JQC	7JQC	A,B	ready	ready
RMDB2PDB:7JRS	7JRS	A,B	ready	ready
RMDB2PDB:7JRT	7JRT	B	ready	ready
RMDB2PDB:7K16	7K16	B	ready	ready
RMDB2PDB:7KGA	7KGA	A,B	ready	ready
RMDB2PDB:7KVU	7KVU	A,B	ready	ready
RMDB2PDB:7MLX	7MLX	A	ready	ready
RMDB2PDB:7OBQ	7OBQ	A,B	ready	ready
RMDB2PDB:7PMQ	7PMQ	A,B	ready	ready
RMDB2PDB:7PNV	7PNV	A,B	ready	ready
RMDB2PDB:7QDU	7QDU	A,B	ready	ready
RMDB2PDB:7QGH	7QGH	A,B	ready	ready
RMDB2PDB:7QR5	7QR5	A,B	ready	ready
RMDB2PDB:7R21	7R21	B	ready	ready
RMDB2PDB:7SCQ	7SCQ	A,B	ready	ready
RMDB2PDB:7SLP	7SLP	A,B	ready	ready
RMDB2PDB:7U2J	7U2J	A,B	ready	ready
RMDB2PDB:7UZY	7UZY	A	ready	ready
RMDB2PDB:7V9E	7V9E	A,B	ready	ready
RMDB2PDB:7WII	7WII	B	ready	ready
RMDB2PDB:7XFZ	7XFZ	A,B	ready	ready
RMDB2PDB:7XG4	7XG4	A,B	ready	ready
RMDB2PDB:7XUI	7XUI	A,B	ready	ready
RMDB2PDB:7XW2	7XW2	A,B	ready	ready
RMDB2PDB:7Y85	7Y85	A,B	ready	ready
RMDB2PDB:7YHS	7YHS	A,B	ready	ready
RMDB2PDB:7YOJ	7YOJ	A,B	ready	ready
RMDB2PDB:7YR7	7YR7	A,B	ready	ready
RMDB2PDB:7Z3N	7Z3N	A,B	ready	ready
RMDB2PDB:7ZRZ	7ZRZ	A,B	ready	ready
RMDB2PDB:8AC0	8AC0	A,B	ready	ready
RMDB2PDB:8AW3	8AW3	A,B	ready	ready
RMDB2PDB:8BTR	8BTR	A,B	ready	ready
RMDB2PDB:8D4A	8D4A	A,B	ready	ready
RMDB2PDB:8D8L	8D8L	A,B	ready	ready
RMDB2PDB:8D97	8D97	A	ready	ready
RMDB2PDB:8DFV	8DFV	B	ready	ready
RMDB2PDB:8E79	8E79	A,B	ready	ready
RMDB2PDB:8FLI	8FLI	A,B	ready	ready
RMDB2PDB:8FR8	8FR8	A,B	ready	ready
RMDB2PDB:8GKH	8GKH	A,B	ready	ready
RMDB2PDB:8GXB	8GXB	A,B	ready	ready
RMDB2PDB:8HL3	8HL3	A,B	ready	ready
RMDB2PDB:8HMY	8HMY	A,B	ready	ready
RMDB2PDB:8I7N	8I7N	B	ready	ready
RMDB2PDB:8IDF	8IDF	B	ready	ready
RMDB2PDB:8K0R	8K0R	A,B	ready	ready
RMDB2PDB:8K23	8K23	A,B	ready	ready
RMDB2PDB:8OIN	8OIN	A,B	ready	ready
RMDB2PDB:8OP2	8OP2	A,B	ready	ready
RMDB2PDB:8OZ0	8OZ0	A,B	ready	ready
RMDB2PDB:8RM5	8RM5	A,B	ready	ready
RMDB2PDB:8S95	8S95	A,B	ready	ready
RMDB2PDB:8SA5	8SA5	A,B	ready	ready
RMDB2PDB:8TJX	8TJX	A,B	ready	ready
RMDB2PDB:8UYL	8UYL	A,B	ready	ready
RMDB2PDB:8UYS	8UYS	A,B	ready	ready
RMDB2PDB:8V1H	8V1H	A,B	ready	ready
RMDB2PDB:8WND	8WND	A,B	ready	ready
RMDB2PDB:9ASP	9ASP	A,B	ready	ready
RMDB2PDB:9D85	9D85	A,B	ready	ready
RMDB2PDB:9DRT	9DRT	A,B	ready	ready
RMDB2PDB:9E0N	9E0N	A,B	ready	ready
RMDB2PDB:9FMD	9FMD	A,B	ready	ready
RMDB2PDB:9FQ6	9FQ6	A,B	ready	ready
RMDB2PDB:9G30	9G30	A,B	ready	ready
RMDB2PDB:9G8M	9G8M	A,B	ready	ready
RMDB2PDB:9GO0	9GO0	A,B	ready	ready
RMDB2PDB:9HCH	9HCH	A,B	ready	ready
RMDB2PDB:9I78	9I78	A,B	ready	ready
RMDB2PDB:9J4N	9J4N	A,B	ready	ready
RMDB2PDB:9J9H	9J9H	A,B	ready	ready
RMDB2PDB:9KGG	9KGG	A,B	ready	ready
RMDB2PDB:9KGH	9KGH	A,B	ready	ready
RMDB2PDB:9N9J	9N9J	A,B	ready	ready
RMDB2PDB:9OJM	9OJM	A,B	ready	ready
RMDB2PDB:9OWN	9OWN	A,B	ready	ready
RMDB2PDB:9OWQ	9OWQ	A,B	ready	ready
RMDB2PDB:9OZZ	9OZZ	A,B	ready	ready
RMDB2PDB:9Q87	9Q87	A,B	ready	ready
RMDB2PDB:9QEH	9QEH	A,B	ready	ready
RMDB2PDB:9QRP	9QRP	A,B	ready	ready
RMDB2PDB:9QU7	9QU7	A,B	ready	ready
RMDB2PDB:9RW1	9RW1	A,B	ready	ready
RMDB2PDB:9SLG	9SLG	A,B	ready	ready
RMDB2PDB:9YLU	9YLU	A,B	ready	ready
RMDB2PDB:9ZIY	9ZIY	A,B	ready	ready
RMDB2PDB:11EH	11EH	B	ready	ready
RMDB2PDB:11FV	11FV	A,B	ready	ready
RMDB2PDB:1E95	1E95	B	ready	ready
RMDB2PDB:1GRZ	1GRZ	A,B	ready	ready
RMDB2PDB:1GTN	1GTN	A	ready	ready
RMDB2PDB:1KUQ	1KUQ	B	ready	ready
RMDB2PDB:1MZP	1MZP	A	ready	ready
RMDB2PDB:1P6V	1P6V	A,B	ready	ready
RMDB2PDB:1QF6	1QF6	A,B	ready	ready
RMDB2PDB:1UN6	1UN6	A,B	ready	ready
RMDB2PDB:1Y27	1Y27	A,B	ready	ready
RMDB2PDB:2D6F	2D6F	A,B	ready	ready
RMDB2PDB:2DR2	2DR2	A,B	ready	ready
RMDB2PDB:2HW8	2HW8	A	ready	ready
RMDB2PDB:2IHX	2IHX	B	ready	ready
RMDB2PDB:2KRL	2KRL	A,B	ready	ready
RMDB2PDB:2MS0	2MS0	B	ready	ready
RMDB2PDB:2OIU	2OIU	A,B	ready	ready
RMDB2PDB:2OM7	2OM7	A,B	ready	ready
RMDB2PDB:2R8S	2R8S	A,B	ready	ready
RMDB2PDB:2VPL	2VPL	A,B	ready	ready
RMDB2PDB:3CC7	3CC7	A,B	ready	ready
RMDB2PDB:3CCU	3CCU	A,B	ready	ready
RMDB2PDB:3EGZ	3EGZ	B	ready	ready
RMDB2PDB:3EPL	3EPL	A,B	ready	ready
RMDB2PDB:3IAB	3IAB	A	ready	ready
RMDB2PDB:3IGI	3IGI	A,B	ready	ready
RMDB2PDB:3IVN	3IVN	A,B	ready	ready
RMDB2PDB:3IZ4	3IZ4	A,B	ready	ready
RMDB2PDB:3JBV	3JBV	A,B	ready	ready
RMDB2PDB:3KTW	3KTW	A,B	ready	ready
RMDB2PDB:3LQX	3LQX	B	ready	ready
RMDB2PDB:3LWV	3LWV	A	ready	ready
RMDB2PDB:3P22	3P22	A,B	ready	ready
RMDB2PDB:3R4F	3R4F	A,B	ready	ready
RMDB2PDB:3SUX	3SUX	A,B	ready	ready
RMDB2PDB:3ZP8	3ZP8	A	ready	ready
RMDB2PDB:4CXG	4CXG	A,B	ready	ready
RMDB2PDB:4ERL	4ERL	A,B	ready	ready
RMDB2PDB:4JI4	4JI4	A,B	ready	ready
RMDB2PDB:4PJO	4PJO	A,B	ready	ready
RMDB2PDB:4PMI	4PMI	B	ready	ready
RMDB2PDB:4R4V	4R4V	A,B	ready	ready
RMDB2PDB:4V6U	4V6U	A,B	ready	ready
RMDB2PDB:4V8N	4V8N	A,B	ready	ready
RMDB2PDB:4WZJ	4WZJ	A,B	ready	ready
RMDB2PDB:4YVI	4YVI	A,B	ready	ready
RMDB2PDB:5AXN	5AXN	A,B	ready	ready
RMDB2PDB:5B2Q	5B2Q	A,B	ready	ready
RMDB2PDB:5H9F	5H9F	A,B	ready	ready
RMDB2PDB:5J88	5J88	A,B	ready	ready
RMDB2PDB:5JVG	5JVG	A,B	ready	ready
RMDB2PDB:5KK5	5KK5	A,B	ready	ready
RMDB2PDB:5M73	5M73	A,B	ready	ready
RMDB2PDB:5NG6	5NG6	A,B	ready	ready
RMDB2PDB:5NPM	5NPM	A,B	ready	ready
RMDB2PDB:5O7H	5O7H	A	ready	ready
RMDB2PDB:5WLH	5WLH	B	ready	ready
RMDB2PDB:5X2G	5X2G	A,B	ready	ready
RMDB2PDB:5XYI	5XYI	A,B	ready	ready
RMDB2PDB:5YYN	5YYN	A,B	ready	ready
RMDB2PDB:5ZEY	5ZEY	A,B	ready	ready
RMDB2PDB:6CIH	6CIH	A,B	ready	ready
RMDB2PDB:6D12	6D12	A	ready	ready
RMDB2PDB:6DB9	6DB9	B	ready	ready
RMDB2PDB:6E8T	6E8T	A,B	ready	ready
RMDB2PDB:6JOO	6JOO	A,B	ready	ready
RMDB2PDB:6JQ6	6JQ6	A,B	ready	ready
RMDB2PDB:6LXD	6LXD	A,B	ready	ready
RMDB2PDB:6M0X	6M0X	A,B	ready	ready
RMDB2PDB:6NUD	6NUD	A,B	ready	ready
RMDB2PDB:6P19	6P19	A,B	ready	ready
RMDB2PDB:6P5N	6P5N	A,B	ready	ready
RMDB2PDB:6RM3	6RM3	A,B	ready	ready
RMDB2PDB:6SY4	6SY4	A	ready	ready
RMDB2PDB:6TMF	6TMF	A,B	ready	ready
RMDB2PDB:6UP0	6UP0	B	ready	ready
RMDB2PDB:6VAR	6VAR	A,B	ready	ready
RMDB2PDB:6W3M	6W3M	A	ready	ready
RMDB2PDB:6WQQ	6WQQ	A,B	ready	ready
RMDB2PDB:6XAS	6XAS	A,B	ready	ready
RMDB2PDB:6XJQ	6XJQ	A,B	ready	ready
RMDB2PDB:6XMF	6XMF	A,B	ready	ready
RMDB2PDB:6YSI	6YSI	A,B	ready	ready
RMDB2PDB:6ZU5	6ZU5	A,B	ready	ready
RMDB2PDB:7A0R	7A0R	A,B	ready	ready
RMDB2PDB:7A5K	7A5K	A,B	ready	ready
RMDB2PDB:7A5P	7A5P	A,B	ready	ready
RMDB2PDB:7AIH	7AIH	A,B	ready	ready
RMDB2PDB:7BL5	7BL5	A,B	ready	ready
RMDB2PDB:7C7A	7C7A	A,B	ready	ready
RMDB2PDB:7C7L	7C7L	A,B	ready	ready
RMDB2PDB:7D82	7D82	B	ready	ready
RMDB2PDB:7D8C	7D8C	A	ready	ready
RMDB2PDB:7DA7	7DA7	A,B	ready	ready
RMDB2PDB:7JRR	7JRR	A	ready	ready
RMDB2PDB:7LHD	7LHD	A,B	ready	ready
RMDB2PDB:7LJY	7LJY	A,B	ready	ready
RMDB2PDB:7LYF	7LYF	A,B	ready	ready
RMDB2PDB:7MKY	7MKY	A	ready	ready
RMDB2PDB:7NHL	7NHL	A,B	ready	ready
RMDB2PDB:7NSI	7NSI	A,B	ready	ready
RMDB2PDB:7QIX	7QIX	A,B	ready	ready
RMDB2PDB:7QQ3	7QQ3	A,B	ready	ready
RMDB2PDB:7QR3	7QR3	A,B	ready	ready
RMDB2PDB:7S0S	7S0S	A,B	ready	ready
RMDB2PDB:7SLQ	7SLQ	B	ready	ready
RMDB2PDB:7TZS	7TZS	A,B	ready	ready
RMDB2PDB:7U5E	7U5E	A,B	ready	ready
RMDB2PDB:7UO0	7UO0	A,B	ready	ready
RMDB2PDB:7UO1	7UO1	A,B	ready	ready
RMDB2PDB:7UQ6	7UQ6	A,B	ready	ready
RMDB2PDB:7VG2	7VG2	B	ready	ready
RMDB2PDB:7VTN	7VTN	A,B	ready	ready
RMDB2PDB:7VW3	7VW3	A,B	ready	ready
RMDB2PDB:7VYX	7VYX	A,B	ready	ready
RMDB2PDB:7WAZ	7WAZ	A,B	ready	ready
RMDB2PDB:7WB1	7WB1	A,B	ready	ready
RMDB2PDB:7WM4	7WM4	A,B	ready	ready
RMDB2PDB:7XD6	7XD6	A,B	ready	ready
RMDB2PDB:7XHT	7XHT	A,B	ready	ready
RMDB2PDB:7Y83	7Y83	A,B	ready	ready
RMDB2PDB:8A57	8A57	A,B	ready	ready
RMDB2PDB:8ABZ	8ABZ	A,B	ready	ready
